W1-1	0.15419999999999998	0.8457999999999999
W1-2	0.0019000000000000002	0.9981
W1-3	0.015899999999999997	0.9840999999999998
W1-4	0.0011000000000000003	0.9989000000000001
W1-5	0.0185	0.9814999999999999
W1-6	0.0803	0.9197
W1-7	0.014799999999999999	0.9852000000000001
W1-8	0.046799999999999994	0.9531999999999998
W1-9	0.0361	0.9639
W1-10	0.0392	0.9608000000000001
W1-11	0.0098	0.9902
W1-12	0.020499999999999997	0.9795
W1-13	0.0010000000000000002	0.999
W1-14	0.0049	0.9951000000000002
W1-15	0.023299999999999994	0.9766999999999999
W1-16	0.0030999999999999995	0.9968999999999999
W1-17	0.088	0.9119999999999999
W1-18	0.08239999999999999	0.9176
W1-19	0.0010000000000000002	0.999
W1-20	0.0011000000000000003	0.9988999999999999
W1-21	0.1089	0.8911
W1-22	0.0235	0.9764999999999999
W1-23	0.09669999999999998	0.9033000000000001
W1-24	0.0605	0.9395
W1-25	0.12210000000000001	0.8779
W1-26	0.0010999999999999998	0.9988999999999999
W1-27	0.1718	0.8282
W1-28	0.0696	0.9304000000000002
W1-29	0.05569999999999999	0.9442999999999999
W1-30	0.0026999999999999997	0.9972999999999999
AQ-1	0.999	0.0010000000000000002
AQ-2	0.999	0.0010000000000000002
AQ-3	0.999	0.0010000000000000002
AQ-4	0.9988999999999999	0.0011000000000000003
AQ-5	0.999	0.0010000000000000002
AQ-6	0.9977	0.002300000000000001
AQ-7	0.9699	0.030100000000000005
AQ-8	0.999	0.0010000000000000002
AQ-9	1	0
AQ-10	0.9996	4e-4
AQ-11	0.9937999999999999	0.006199999999999999
AQ-12	0.9974999999999999	0.0024999999999999996
AQ-13	0.999	0.0010000000000000002
AQ-14	0.9919	0.0081
AQ-15	1	0
AQ-16	0.9982	0.0018000000000000002
AQ-17	0.999	0.0010000000000000002
AQ-18	0.9994	6.000000000000001e-4
AQ-19	0.9998999999999999	1e-4
AQ-20	0.999	0.0010000000000000002
AQ-21	0.9972	0.0027999999999999995
AQ-22	0.9433	0.05670000000000001
AQ-23	0.9982	0.0018000000000000002
AQ-24	0.9602999999999999	0.0397
AQ-25	0.9942	0.0058
AQ-26	0.9991999999999999	8e-4
AQ-27	1	0
AQ-28	0.9991999999999999	8e-4
AQ-29	0.999	0.0010000000000000002
AQ-30	0.9785	0.0215
W2-1	0.0011000000000000003	0.9988999999999999
W2-2	0.0010000000000000002	0.999
W2-3	0.0010000000000000002	0.999
W2-4	0.008999999999999998	0.9909999999999999
W2-5	0.0036	0.9963999999999998
W2-6	0.007000000000000001	0.9930000000000001
W2-7	0.0010000000000000002	0.999
W2-8	0.0010000000000000002	0.999
W2-9	0.006199999999999999	0.9937999999999999
W2-10	0.0012000000000000001	0.9987999999999999
W2-11	9.000000000000001e-4	0.9991
W2-12	0.0021	0.9978999999999999
W2-13	0.0013000000000000002	0.9987
W2-14	0.0016	0.9984000000000002
W2-15	0.013000000000000001	0.9869999999999999
W2-16	8e-4	0.9991999999999999
W2-17	0.0014000000000000002	0.9986
W2-18	0.0215	0.9784999999999998
W2-19	0.008899999999999998	0.9910999999999998
W2-20	0.0033	0.9967
W2-21	0.0018000000000000002	0.9982000000000001
W2-22	0.0010000000000000002	0.999
W2-23	5e-4	0.9994999999999999
W2-24	0.0010000000000000002	0.999
W2-25	0.0022000000000000006	0.9978
W2-26	0.0013000000000000002	0.9986999999999998
W2-27	0.0024000000000000002	0.9976
W2-28	0.0029999999999999996	0.9970000000000001
W2-29	0.0019000000000000002	0.9981
W2-30	0.004000000000000001	0.9960000000000001
