bamhead	mean_depth	sd_depth	mean_depth_nonzero	mean_depth_within2sd	median	proportion_of_reference_covered
Cv5786_01	1.34134735514313	2.11418930721667	3.22005975144599	0.992306450813145	0	0.416559771768229
Cv5786_02	2.06487407019167	3.09553626830203	4.561149670312	1.66022526425518	0	0.452709123673377
Cv5786_03	1.25238671949527	2.00927957115701	3.06502107259249	0.956465251403576	0	0.408606234617763
Cv5786_04	1.29627739842761	2.08415392925831	3.16676517633952	0.971820473159234	0	0.409338023580789
Cv5786_05	0.430155087748744	0.873678997775911	1.63662995193558	0.306831597187845	0	0.262829778496962
Cv5786_06	1.48626776950255	2.31946911177597	3.48435970972905	1.17203516586106	0	0.426554056790934
Cv5786_07	2.20012500840847	3.27996017833416	4.81143165819407	1.68454020016	0	0.457270343778737
Cv5786_08	1.46915548353079	2.26365297425884	3.38384395846074	1.03453706349046	0	0.434167621665045
Cv5786_09	2.01348789582418	3.00391561046542	4.45173433912058	1.65799311348274	0	0.452292913826552
Cv5786_10	2.00062581606706	3.00544849302765	4.45376468298255	1.63073676812687	0	0.449198814592016
Cv5786_11	1.7541628841663	2.71336217372783	4.04957041996469	1.38778219134674	0	0.433172584311308
Cv5786_12	2.74327795014687	3.92666986810257	5.68769943041709	2.18240285790519	0	0.482317672321853
Cv5786_13	2.97471128680153	4.31593180262563	6.37867662093682	2.36573918915413	0	0.466352421290517
Cv5786_14	2.22183534592538	3.28192890842269	4.86422056064909	1.69680363871993	0	0.456771093790645
Cv5786_15	1.91220669163619	2.85096062986514	4.15926104415954	1.46552269660527	0	0.459746736579842
Cv5786_16	1.94448045627124	2.93051789697987	4.43211143595486	1.45044200250812	0	0.438725533950985
Cv5786_17	3.11305991393776	4.42018074695635	6.50258052346719	2.44832411188735	0	0.478742232057076
Cv5786_18	3.71387199922633	5.0389777262864	7.27035944001806	3.04154160101637	1	0.510823712344616
Cv5786_19	3.63073943909498	5.18060493080129	7.64213785411619	2.87283347025707	0	0.475094732443178
Cv5786_20	3.28444286174239	4.63125500438112	6.78755151873748	2.6609166060884	0	0.483892144711366
Cv5786_21	2.68700566792788	3.92999717386703	5.77683969110435	2.14584477838982	0	0.465134193020169
Cv5786_22	1.10751146964809	1.83432827629714	2.79238372855409	0.775420122595082	0	0.39661865177171
Cv5786_23	1.42533089526965	2.26061824954313	3.40895997806501	1.00796468912751	0	0.418113120846452
Cv5786_24	0.794607745542311	1.38236855935015	2.22846009052964	0.553555941094546	0	0.356572571758827
Cv5786_25	1.45045963560213	2.23429949376711	3.3483506839789	1.04124005541692	0	0.433186297522938
Cv5786_26	3.20868330987877	4.55961470563846	6.77457604813662	2.6289762543068	0	0.473636030812509
Cv5786_27	1.69727526137409	2.56506399065172	3.83725833471745	1.25786654204834	0	0.442314567674106
Cv5786_28	2.00315051617641	3.00527276473693	4.47693730751311	1.62601108237465	0	0.447437696483743
Cv5786_29	1.90878778059788	2.89443182428067	4.30694575170203	1.44738022252905	0	0.443188256978775
Cv5786_30	3.90963421873135	5.44325120568361	8.03710339370899	3.17052137802039	0	0.486448167605904
