bamhead	mean_depth	sd_depth	mean_depth_nonzero	mean_depth_within2sd	median	proportion_of_reference_covered
SV0512a_001	0.392165685715663	0.833961358711804	1.61029070921622	0.282170163748462	0	0.243537197023749
SV0512a_002	0.393574980354001	0.838233258649964	1.6093740167107	0.283494746256754	0	0.244551593518419
SV0512a_003a	0.37842594289142	0.813648452662477	1.59422060332268	0.274840193584878	0	0.237373637063027
SV0512a_004	0.339838256363907	0.747472954217643	1.51854890166231	0.155427587027242	0	0.223791447210982
SV0512a_005	0.390935112633996	0.836600131189695	1.61500723460926	0.27991873351125	0	0.24206400086428
SV0512a_006	0.305196215700223	0.701271717123843	1.47317089755559	0.147904378463566	0	0.207169593294825
SV0512a_007	0.383924136071519	0.821324257895778	1.59879618158627	0.278401492717479	0	0.240133258068296
SV0512a_008a	0.323028140059461	0.729896427048866	1.50162247592611	0.151089832533124	0	0.215119409330996
SV0512a_009	0.368065631950811	0.798210026861232	1.57150163943191	0.158635146646042	0	0.234212693588927
SV0512a_010	0.356682049628432	0.777571317536372	1.5506281521922	0.157405061749285	0	0.230024231872925
SV0512a_011	0.479028541717454	0.954727384418806	1.73430182657986	0.317041189039725	0	0.276208289915952
SV0512a_012	0.360405420250908	0.788924085259876	1.56276811271445	0.156947170756556	0	0.230619896399738
SV0512a_013	0.211669679347714	0.553801242861683	1.32832370887274	0.123941576452139	0	0.159350975920932
SV0512a_014	0.336072019906344	0.748433034237252	1.51904329389885	0.154130806161648	0	0.221239263723618
SV0512a_015	0.334827977500724	0.749269107539263	1.51961318221568	0.15335339452544	0	0.220337636853617
SV0512a_016	0.336158730047791	0.751135958088233	1.52558052073605	0.152914648042124	0	0.220348074374758
SV0512a_017	0.401464227514838	0.84793053886115	1.62471248431298	0.285957160079485	0	0.247098629074899
SV0512a_018	0.383221766985846	0.826051181095037	1.60078720913897	0.277338731976006	0	0.239395820255155
SV0512a_019	0.360864659497882	0.786925955494324	1.56180737698773	0.157260385406819	0	0.231055804201672
SV0512a_020	0.488642531196129	0.980632723330348	1.78342630317057	0.311629693096457	0	0.273990873818229
SV0512a_021	0.526030181730458	1.04235485513899	1.84264131820582	0.322772061954699	0	0.285476167571462
SV0512a_022	0.49673351445013	0.993182681248192	1.79239746183425	0.315121947583114	0	0.277133573901523
SV0512a_023	0.367582436204919	0.799342039468707	1.5732669861991	0.158130164474222	0	0.233642757033283
SV0512a_024	0.383112512558317	0.820595574170476	1.59527059085887	0.278577959082595	0	0.240155190444468
