bamhead	mean_depth	sd_depth	mean_depth_nonzero	mean_depth_within2sd	median	proportion_of_reference_covered
FI1012_001	0.327504452163968	0.738724574750977	1.51193156711907	0.151209481978786	0	0.216613277536325
FI1012_002	0.316336327909487	0.722686077726599	1.49270073842789	0.149644495234246	0	0.211922135338714
FI1012_003	0.235199155439243	0.590219800736692	1.36359986357104	0.131181443360589	0	0.172483997485251
FI1012_004	0.42062766091045	0.8850093593099	1.67367420395867	0.288920466181523	0	0.251319916334863
FI1012_005	0.486726436271307	0.984357660625485	1.78148738222804	0.311149231681778	0	0.273213518729957
FI1012_006	0.283739866140933	0.666947014528484	1.43829311295102	0.143546073214513	0	0.197275411796208
FI1012_007	0.251617008172371	0.617523119793171	1.38924994740698	0.135622097295014	0	0.181117162280341
FI1012_008	0.243149998140517	0.603281925970852	1.37621568996511	0.133259041304561	0	0.176680152619663
FI1012_009	0.361159169338298	0.789352513368341	1.56100366674734	0.157738084002744	0	0.231363434328425
FI1012_010	0.443923274899435	0.907727731097999	1.69399309085937	0.302478932871053	0	0.262057311387319
FI1012_011	0.295072928641371	0.690856576489856	1.46697064091418	0.144068111681454	0	0.20114439949341
FI1012_012	0.468709141127828	0.956732098811252	1.76021854226284	0.303830881797042	0	0.266278947684299
FI1012_013	0.364238013172465	0.796982950097257	1.57533089046863	0.156205931426325	0	0.231213655096821
FI1012_014	0.237807179007275	0.598259865949644	1.3709945418984	0.131394051531179	0	0.173455963346195
FI1012_015	0.234037148415833	0.588409660237038	1.36362199179435	0.130354475438371	0	0.171629051030217
FI1012_016	0.263652152058399	0.628712807208176	1.39549582219636	0.140696186000766	0	0.188930807147311
FI1012_017	0.389004361075953	0.827908145138724	1.60581093419669	0.28058470054985	0	0.242247921465585
FI1012_018	0.251794551181196	0.613751778259009	1.37941878489293	0.137513583854113	0	0.182536698744931
FI1012_019	0.257644154536363	0.622883687118309	1.39137745837197	0.13854913472161	0	0.185172005616698
FI1012_020	0.284970791180263	0.673811141708438	1.44840890757072	0.142426879575802	0	0.196747472133732
FI1012_021	0.435676701458799	0.906401984223848	1.69350589351614	0.29543958807437	0	0.257263174061892
