bamhead	mean_depth	sd_depth	mean_depth_nonzero	mean_depth_within2sd	median	proportion_of_reference_covered
HH1013a_merged	2.65681178566433	3.87826475871902	5.71362838310525	2.1200380396723	0	0.464995552304549
HH1013a_merged	2.43625777653128	3.58983924786896	5.30036425434628	1.90458411750613	0	0.459639688825585
HH1013a_merged	2.52309832629229	3.67886735351437	5.43243459499512	1.94196509884508	0	0.46445075079527
HH1013a_merged	2.66151697842592	3.86990515328897	5.71571761789698	2.13521111977177	0	0.465648787493308
HH1013a_merged	2.85239673087069	4.14953772384326	6.08805619498627	2.32343602661187	0	0.468523390638221
HH1013a_merged	2.4554569971712	3.59323375448149	5.30199879788127	1.90889460597714	0	0.463119116163269
HH1013a_merged	2.56781015058473	3.77956664355542	5.53660491631895	2.07600124345572	0	0.463787860862945
HH1013a_merged	2.35191417186327	3.49288188585217	5.12417642933128	1.86715526641655	0	0.458983839510221
HH1013a_merged	1.92904796569996	2.94901161201636	4.34453417190887	1.42244629875391	0	0.444017215510385
HH1013a_merged	3.350585402548	4.79882571230719	7.02957454697003	2.63257733651881	0	0.476641278950605
HH1013a_merged	2.30728753450834	3.41329184114392	5.02746721542708	1.875351699316	0	0.458936366094838
HH1013a_merged	3.03801188059944	4.38657475000569	6.43233363184084	2.3766287761879	0	0.472303219093333
HH1013a_merged	3.14626485090867	4.54757515670954	6.66355788960612	2.55971629817805	0	0.47215990361835
HH1013a_merged	3.22859080986897	4.70470627894258	6.83438604931008	2.57207112101174	0	0.472403927225473
HH1013a_merged	2.93537968556284	4.33932120163937	6.27362937274387	2.31303068695056	0	0.467891791363232
HH1013a_merged	1.70913703901318	2.62953044842194	3.91772041589805	1.22508468060962	0	0.436258042323989
HH1013a_merged	2.36752475893521	3.52883946217839	5.16643629326257	1.87478772276983	0	0.458251031183861
HH1013a_merged	2.43668339869537	3.56227022850637	5.27180807744367	1.93147602760973	0	0.462210187263646
HH1013a_merged	3.74219179952534	5.30502746278067	7.78754366525863	3.06332255330031	0	0.480535578403288
HH1013a_merged	3.41912889742425	4.87472774277529	7.14772457273552	2.8145238983082	0	0.478352077312347
HH1013a_merged	2.78669797967718	4.01927852911968	5.95378711646678	2.17707938250301	0	0.468054689421255
HH1013a_merged	3.87010851493608	5.45094504579212	7.99889061459151	3.13763913378929	0	0.483830658701138
HH1013a_merged	3.95884862198509	5.54704544987465	8.15708964506053	3.32446931694796	0	0.485326114367706
HH1013a_merged	3.48381403928375	4.92507201087906	7.24186818750132	2.87586017151885	0	0.48106565171882
HH1013a_merged	1.89145101124915	2.90234428922462	4.26732814893307	1.41842615571044	0	0.443240113072338
