ind	pop	simulation_replicate	AQ_assignment_rate	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
W1-10	W1	rep03	8e-4	eq10400_s3270	cons0.001	1	10
W1-10	W1	rep04	0	eq10400_s3270	cons0.001	1	10
W1-10	W1	rep05	0	eq10400_s3270	cons0.001	1	10
W1-10	W1	rep06	0	eq10400_s3270	cons0.001	1	10
W1-10	W1	rep07	0	eq10400_s3270	cons0.001	1	10
W1-10	W1	rep08	0.0024	eq10400_s3270	cons0.001	1	10
W1-10	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-10	W1	rep10	1e-4	eq10400_s3270	cons0.001	1	10
W1-11	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-11	W1	rep02	0	eq10400_s3270	cons0.001	1	10
W1-11	W1	rep03	8e-4	eq10400_s3270	cons0.001	1	10
W1-11	W1	rep04	5e-4	eq10400_s3270	cons0.001	1	10
W1-11	W1	rep05	2e-4	eq10400_s3270	cons0.001	1	10
W1-11	W1	rep06	0	eq10400_s3270	cons0.001	1	10
W1-11	W1	rep07	0	eq10400_s3270	cons0.001	1	10
W1-11	W1	rep08	0	eq10400_s3270	cons0.001	1	10
W1-11	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-11	W1	rep10	9.000000000000001e-4	eq10400_s3270	cons0.001	1	10
W1-12	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-12	W1	rep02	0	eq10400_s3270	cons0.001	1	10
W1-12	W1	rep03	0	eq10400_s3270	cons0.001	1	10
W1-12	W1	rep04	0	eq10400_s3270	cons0.001	1	10
W1-12	W1	rep05	0	eq10400_s3270	cons0.001	1	10
W1-12	W1	rep06	0	eq10400_s3270	cons0.001	1	10
W1-12	W1	rep07	0	eq10400_s3270	cons0.001	1	10
W1-12	W1	rep08	0	eq10400_s3270	cons0.001	1	10
W1-12	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-12	W1	rep10	0	eq10400_s3270	cons0.001	1	10
W1-13	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-13	W1	rep02	0	eq10400_s3270	cons0.001	1	10
W1-13	W1	rep03	0	eq10400_s3270	cons0.001	1	10
W1-13	W1	rep04	0.001	eq10400_s3270	cons0.001	1	10
W1-13	W1	rep05	0.0014	eq10400_s3270	cons0.001	1	10
W1-13	W1	rep06	0	eq10400_s3270	cons0.001	1	10
W1-13	W1	rep07	0	eq10400_s3270	cons0.001	1	10
W1-13	W1	rep08	0	eq10400_s3270	cons0.001	1	10
W1-13	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-13	W1	rep10	0	eq10400_s3270	cons0.001	1	10
W1-14	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-14	W1	rep02	0	eq10400_s3270	cons0.001	1	10
W1-14	W1	rep03	0	eq10400_s3270	cons0.001	1	10
W1-14	W1	rep04	0	eq10400_s3270	cons0.001	1	10
W1-14	W1	rep05	0	eq10400_s3270	cons0.001	1	10
W1-14	W1	rep06	0	eq10400_s3270	cons0.001	1	10
W1-14	W1	rep07	0.00699999999999999	eq10400_s3270	cons0.001	1	10
W1-14	W1	rep08	0	eq10400_s3270	cons0.001	1	10
W1-14	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-14	W1	rep10	0.001	eq10400_s3270	cons0.001	1	10
W1-15	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-15	W1	rep02	0	eq10400_s3270	cons0.001	1	10
W1-15	W1	rep03	0	eq10400_s3270	cons0.001	1	10
W1-15	W1	rep04	0	eq10400_s3270	cons0.001	1	10
W1-15	W1	rep05	0	eq10400_s3270	cons0.001	1	10
W1-15	W1	rep06	0	eq10400_s3270	cons0.001	1	10
W1-15	W1	rep07	0	eq10400_s3270	cons0.001	1	10
W1-15	W1	rep08	0	eq10400_s3270	cons0.001	1	10
W1-15	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-15	W1	rep10	1e-4	eq10400_s3270	cons0.001	1	10
W1-16	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-16	W1	rep02	0	eq10400_s3270	cons0.001	1	10
W1-16	W1	rep03	0	eq10400_s3270	cons0.001	1	10
W1-16	W1	rep04	0	eq10400_s3270	cons0.001	1	10
W1-16	W1	rep05	0	eq10400_s3270	cons0.001	1	10
W1-16	W1	rep06	0	eq10400_s3270	cons0.001	1	10
W1-16	W1	rep07	9.000000000000001e-4	eq10400_s3270	cons0.001	1	10
W1-16	W1	rep08	0	eq10400_s3270	cons0.001	1	10
W1-16	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-16	W1	rep10	0	eq10400_s3270	cons0.001	1	10
W1-17	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-17	W1	rep02	0	eq10400_s3270	cons0.001	1	10
W1-17	W1	rep03	0	eq10400_s3270	cons0.001	1	10
W1-17	W1	rep04	0	eq10400_s3270	cons0.001	1	10
W1-17	W1	rep05	0	eq10400_s3270	cons0.001	1	10
W1-17	W1	rep06	0	eq10400_s3270	cons0.001	1	10
W1-17	W1	rep07	0	eq10400_s3270	cons0.001	1	10
W1-17	W1	rep08	0	eq10400_s3270	cons0.001	1	10
W1-17	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-17	W1	rep10	0.0017	eq10400_s3270	cons0.001	1	10
W1-18	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-18	W1	rep02	0	eq10400_s3270	cons0.001	1	10
W1-18	W1	rep03	0.0027	eq10400_s3270	cons0.001	1	10
W1-18	W1	rep04	0	eq10400_s3270	cons0.001	1	10
W1-18	W1	rep05	0	eq10400_s3270	cons0.001	1	10
W1-18	W1	rep06	0	eq10400_s3270	cons0.001	1	10
W1-18	W1	rep07	0	eq10400_s3270	cons0.001	1	10
W1-18	W1	rep08	0	eq10400_s3270	cons0.001	1	10
W1-18	W1	rep09	6.000000000000001e-4	eq10400_s3270	cons0.001	1	10
W1-18	W1	rep10	0	eq10400_s3270	cons0.001	1	10
W1-19	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-19	W1	rep02	0	eq10400_s3270	cons0.001	1	10
W1-19	W1	rep03	0	eq10400_s3270	cons0.001	1	10
W1-19	W1	rep04	0	eq10400_s3270	cons0.001	1	10
W1-19	W1	rep05	0	eq10400_s3270	cons0.001	1	10
W1-19	W1	rep06	0	eq10400_s3270	cons0.001	1	10
W1-19	W1	rep07	0	eq10400_s3270	cons0.001	1	10
W1-19	W1	rep08	0	eq10400_s3270	cons0.001	1	10
W1-19	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-19	W1	rep10	0	eq10400_s3270	cons0.001	1	10
W1-20	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-20	W1	rep02	0	eq10400_s3270	cons0.001	1	10
W1-20	W1	rep03	0	eq10400_s3270	cons0.001	1	10
W1-20	W1	rep04	0	eq10400_s3270	cons0.001	1	10
W1-20	W1	rep05	0	eq10400_s3270	cons0.001	1	10
W1-20	W1	rep06	0	eq10400_s3270	cons0.001	1	10
W1-20	W1	rep07	0	eq10400_s3270	cons0.001	1	10
W1-20	W1	rep08	0	eq10400_s3270	cons0.001	1	10
W1-20	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-20	W1	rep10	0	eq10400_s3270	cons0.001	1	10
W1-21	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-21	W1	rep02	0	eq10400_s3270	cons0.001	1	10
W1-21	W1	rep03	0	eq10400_s3270	cons0.001	1	10
W1-21	W1	rep04	0.001	eq10400_s3270	cons0.001	1	10
W1-21	W1	rep05	0	eq10400_s3270	cons0.001	1	10
W1-21	W1	rep06	0	eq10400_s3270	cons0.001	1	10
W1-21	W1	rep07	0	eq10400_s3270	cons0.001	1	10
W1-21	W1	rep08	0	eq10400_s3270	cons0.001	1	10
W1-21	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-21	W1	rep10	0.0055	eq10400_s3270	cons0.001	1	10
W1-22	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-22	W1	rep02	0	eq10400_s3270	cons0.001	1	10
W1-22	W1	rep03	0	eq10400_s3270	cons0.001	1	10
W1-22	W1	rep04	0	eq10400_s3270	cons0.001	1	10
W1-22	W1	rep05	0	eq10400_s3270	cons0.001	1	10
W1-22	W1	rep06	0	eq10400_s3270	cons0.001	1	10
W1-22	W1	rep07	0	eq10400_s3270	cons0.001	1	10
W1-22	W1	rep08	0	eq10400_s3270	cons0.001	1	10
W1-22	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-22	W1	rep10	0	eq10400_s3270	cons0.001	1	10
W1-23	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-23	W1	rep02	0	eq10400_s3270	cons0.001	1	10
W1-23	W1	rep03	1e-4	eq10400_s3270	cons0.001	1	10
W1-23	W1	rep04	0	eq10400_s3270	cons0.001	1	10
W1-23	W1	rep05	0	eq10400_s3270	cons0.001	1	10
W1-23	W1	rep06	0	eq10400_s3270	cons0.001	1	10
W1-23	W1	rep07	0	eq10400_s3270	cons0.001	1	10
W1-23	W1	rep08	0	eq10400_s3270	cons0.001	1	10
