simulation_replicate	pop	mean	var	freq_unadmixed	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
rep01	AQ	0.9999966666666666	3.333333333332599e-10	0	eq10400_s3270	single0.1	4	10
rep02	AQ	1	0	0	eq10400_s3270	single0.1	4	10
rep03	AQ	1	0	0	eq10400_s3270	single0.1	4	10
rep04	AQ	1	0	0	eq10400_s3270	single0.1	4	10
rep05	AQ	1	0	0	eq10400_s3270	single0.1	4	10
rep06	AQ	0.9999833333333333	8.333333333331497e-9	0	eq10400_s3270	single0.1	4	10
rep07	AQ	0.9999666666666667	3.3333333333333394e-8	0	eq10400_s3270	single0.1	4	10
rep08	AQ	1	0	0	eq10400_s3270	single0.1	4	10
rep09	AQ	1	0	0	eq10400_s3270	single0.1	4	10
rep10	AQ	1	0	0	eq10400_s3270	single0.1	4	10
rep01	W1	0.012383333333333333	0.0016544883333333333	0.6666666666666666	eq10400_s3270	single0.1	4	10
rep02	W1	0.004696666666666666	6.339899885057469e-4	0.8666666666666667	eq10400_s3270	single0.1	4	10
rep03	W1	0.009603333333333334	8.885396436781609e-4	0.7666666666666667	eq10400_s3270	single0.1	4	10
rep04	W1	0.022976666666666666	0.004561788747126436	0.7333333333333333	eq10400_s3270	single0.1	4	10
rep05	W1	0.006363333333333332	7.246506781609193e-4	0.8	eq10400_s3270	single0.1	4	10
rep06	W1	0.004986666666666665	7.094011954022985e-4	0.8	eq10400_s3270	single0.1	4	10
rep07	W1	0.015226666666666664	0.001589848229885057	0.7	eq10400_s3270	single0.1	4	10
rep08	W1	0.020120000000000002	0.003527992000000001	0.8	eq10400_s3270	single0.1	4	10
rep09	W1	5.333333333333333e-5	3.636781609195402e-8	0.9333333333333333	eq10400_s3270	single0.1	4	10
rep10	W1	0.003173333333333333	1.4209650574712642e-4	0.8333333333333334	eq10400_s3270	single0.1	4	10
rep01	W2	1e-4	8.20689655172414e-8	0.9	eq10400_s3270	single0.1	4	10
rep02	W2	1.4666666666666666e-4	1.915402298850575e-7	0.8333333333333334	eq10400_s3270	single0.1	4	10
rep03	W2	1.4000000000000001e-4	1.3144827586206897e-7	0.8333333333333334	eq10400_s3270	single0.1	4	10
rep04	W2	1.4333333333333334e-4	1.8874712643678161e-7	0.9	eq10400_s3270	single0.1	4	10
rep05	W2	9.666666666666667e-4	1.3707816091954025e-5	0.7666666666666667	eq10400_s3270	single0.1	4	10
rep06	W2	1.2333333333333334e-4	6.805747126436782e-8	0.8	eq10400_s3270	single0.1	4	10
rep07	W2	1.8666666666666666e-4	2.56367816091954e-7	0.8333333333333334	eq10400_s3270	single0.1	4	10
rep08	W2	2.3666666666666633e-4	3.479195402298833e-7	0.8333333333333334	eq10400_s3270	single0.1	4	10
rep09	W2	5.766666666666663e-4	3.630816091954019e-6	0.8666666666666667	eq10400_s3270	single0.1	4	10
rep10	W2	7.666666666666667e-5	4.460919540229885e-8	0.9	eq10400_s3270	single0.1	4	10
rep01	AQ	0.9999933333333333	1.3333333333330396e-9	0	eq10400_s3270	single0.2	4	10
rep02	AQ	1	0	0	eq10400_s3270	single0.2	4	10
rep03	AQ	1	0	0	eq10400_s3270	single0.2	4	10
rep04	AQ	1	0	0	eq10400_s3270	single0.2	4	10
rep05	AQ	1	0	0	eq10400_s3270	single0.2	4	10
rep06	AQ	0.99998	1.2000000000001798e-8	0	eq10400_s3270	single0.2	4	10
rep07	AQ	0.99996	4.799999999999831e-8	0	eq10400_s3270	single0.2	4	10
rep08	AQ	1	0	0	eq10400_s3270	single0.2	4	10
rep09	AQ	1	0	0	eq10400_s3270	single0.2	4	10
rep10	AQ	1	0	0	eq10400_s3270	single0.2	4	10
rep01	W1	0.018583333333333334	0.0018572835057471268	0.6	eq10400_s3270	single0.2	4	10
rep02	W1	0.01451	0.001754559551724138	0.7666666666666667	eq10400_s3270	single0.2	4	10
rep03	W1	0.031819999999999994	0.007772056827586205	0.8666666666666667	eq10400_s3270	single0.2	4	10
rep04	W1	0.02204	0.003743636275862069	0.7333333333333333	eq10400_s3270	single0.2	4	10
rep05	W1	0.029646666666666665	0.006494283954022987	0.6333333333333333	eq10400_s3270	single0.2	4	10
rep06	W1	0.011493333333333333	0.0014186875402298848	0.7333333333333333	eq10400_s3270	single0.2	4	10
rep07	W1	0.01763666666666667	0.003069606540229885	0.8	eq10400_s3270	single0.2	4	10
rep08	W1	0.02289333333333333	0.0035800896091954023	0.7333333333333333	eq10400_s3270	single0.2	4	10
rep09	W1	0.014906666666666664	0.0024127116781609186	0.7666666666666667	eq10400_s3270	single0.2	4	10
rep10	W1	0.027596666666666665	0.003180874126436782	0.7	eq10400_s3270	single0.2	4	10
rep01	W2	1.1666666666666667e-4	1.324712643678161e-7	0.9	eq10400_s3270	single0.2	4	10
rep02	W2	1.8666666666666666e-4	2.480919540229885e-7	0.8333333333333334	eq10400_s3270	single0.2	4	10
rep03	W2	1.0333333333333334e-4	8.654022988505748e-8	0.9	eq10400_s3270	single0.2	4	10
rep04	W2	1.5666666666666666e-4	1.321954022988506e-7	0.8	eq10400_s3270	single0.2	4	10
rep05	W2	7.533333333333327e-4	5.192229885057464e-6	0.7666666666666667	eq10400_s3270	single0.2	4	10
rep06	W2	2.2333333333333333e-4	1.6460919540229886e-7	0.7666666666666667	eq10400_s3270	single0.2	4	10
rep07	W2	2.8333333333333303e-4	5.662643678160897e-7	0.8	eq10400_s3270	single0.2	4	10
rep08	W2	2.466666666666667e-4	3.3498850574712646e-7	0.8	eq10400_s3270	single0.2	4	10
