simulation_replicate	pop	mean	var	freq_unadmixed	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
rep07	W2	0.0036599999999999996	7.174799999999999e-5	0.9	eq10400_s280	single0.2	1	10
rep08	W2	0.006526666666666666	4.4063512643678166e-4	0.8666666666666667	eq10400_s280	single0.2	1	10
rep09	W2	0.0038733333333333315	7.812340229885053e-5	0.9	eq10400_s280	single0.2	1	10
rep10	W2	0.0034233333333333325	8.776460919540228e-5	0.9333333333333333	eq10400_s280	single0.2	1	10
rep01	AQ	0.9883466666666667	5.656639540229886e-4	0	eq10400_s280	single0.5	1	10
rep02	AQ	0.9949133333333333	1.4447222988505764e-4	0	eq10400_s280	single0.5	1	10
rep03	AQ	0.99769	3.125334482758618e-5	0	eq10400_s280	single0.5	1	10
rep04	AQ	0.9967933333333333	4.413167816091962e-5	0	eq10400_s280	single0.5	1	10
rep05	AQ	0.9903	7.948565517241383e-4	0	eq10400_s280	single0.5	1	10
rep06	AQ	0.9969966666666666	4.026791954022979e-5	0	eq10400_s280	single0.5	1	10
rep07	AQ	0.9893	4.904551724137925e-4	0	eq10400_s280	single0.5	1	10
rep08	AQ	0.9961333333333333	2.464650574712644e-4	0	eq10400_s280	single0.5	1	10
rep09	AQ	0.9975733333333333	7.691995402298844e-5	0	eq10400_s280	single0.5	1	10
rep10	AQ	0.9932333333333333	4.390140229885069e-4	0	eq10400_s280	single0.5	1	10
rep01	W1	0.07380666666666667	0.06339078271264367	0.7	eq10400_s280	single0.5	1	10
rep02	W1	0.04302	0.031101312	0.7	eq10400_s280	single0.5	1	10
rep03	W1	0.03675	0.0330754598275862	0.7	eq10400_s280	single0.5	1	10
rep04	W1	0.07192333333333334	0.06402094047126437	0.8666666666666667	eq10400_s280	single0.5	1	10
rep05	W1	0.006246666666666666	1.6119498850574707e-4	0.8333333333333334	eq10400_s280	single0.5	1	10
rep06	W1	0.007443333333333332	2.615273678160919e-4	0.8	eq10400_s280	single0.5	1	10
rep07	W1	0.16967333333333334	0.14237382133333334	0.6333333333333333	eq10400_s280	single0.5	1	10
rep08	W1	0.0023599999999999993	7.661793103448274e-6	0.8666666666666667	eq10400_s280	single0.5	1	10
rep09	W1	0.07094333333333333	0.06378832254022988	0.7666666666666667	eq10400_s280	single0.5	1	10
