simulation_replicate	pop	mean	var	freq_unadmixed	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
rep01	AQ	0.9999966666666666	3.333333333332599e-10	0	eq10400_s3270	cons0.001	2	10
rep02	AQ	1	0	0	eq10400_s3270	cons0.001	2	10
rep03	AQ	1	0	0	eq10400_s3270	cons0.001	2	10
rep04	AQ	1	0	0	eq10400_s3270	cons0.001	2	10
rep05	AQ	0.99998	1.1999999999992916e-8	0	eq10400_s3270	cons0.001	2	10
rep06	AQ	0.99998	1.1999999999992916e-8	0	eq10400_s3270	cons0.001	2	10
rep07	AQ	0.9998333333333334	8.333333333333348e-7	0	eq10400_s3270	cons0.001	2	10
rep08	AQ	1	0	0	eq10400_s3270	cons0.001	2	10
rep09	AQ	1	0	0	eq10400_s3270	cons0.001	2	10
rep10	AQ	1	0	0	eq10400_s3270	cons0.001	2	10
rep01	W1	1.2666666666666666e-4	6.54712643678161e-8	0.8	eq10400_s3270	cons0.001	2	10
rep02	W1	2.3666666666666668e-4	2.2722988505747128e-7	0.7666666666666667	eq10400_s3270	cons0.001	2	10
rep03	W1	1.5000000000000001e-4	1.7500000000000002e-7	0.8333333333333334	eq10400_s3270	cons0.001	2	10
rep04	W1	3.0000000000000004e-5	2.7000000000000004e-8	0.9666666666666667	eq10400_s3270	cons0.001	2	10
rep05	W1	1e-4	8.137931034482759e-8	0.9	eq10400_s3270	cons0.001	2	10
rep06	W1	5.033333333333334e-4	1.4996436781609196e-6	0.8	eq10400_s3270	cons0.001	2	10
rep07	W1	2.1666666666666633e-4	9.821264367816056e-7	0.9	eq10400_s3270	cons0.001	2	10
rep08	W1	1.8333333333333334e-4	2.82816091954023e-7	0.8	eq10400_s3270	cons0.001	2	10
rep09	W1	3.6666666666666667e-4	6.719540229885057e-7	0.7666666666666667	eq10400_s3270	cons0.001	2	10
rep10	W1	1.1e-4	1.1955172413793102e-7	0.9333333333333333	eq10400_s3270	cons0.001	2	10
rep01	W2	1.0666666666666667e-4	8.47816091954023e-8	0.8666666666666667	eq10400_s3270	cons0.001	2	10
rep02	W2	1.1e-4	9.127586206896552e-8	0.8666666666666667	eq10400_s3270	cons0.001	2	10
rep03	W2	1.4666666666666666e-4	3.880919540229885e-7	0.9333333333333333	eq10400_s3270	cons0.001	2	10
rep04	W2	4.0333333333333334e-4	1.5789540229885056e-6	0.7666666666666667	eq10400_s3270	cons0.001	2	10
rep05	W2	1.0333333333333334e-4	7.619540229885058e-8	0.8666666666666667	eq10400_s3270	cons0.001	2	10
rep06	W2	8.699999999999997e-4	1.270148275862069e-5	0.7666666666666667	eq10400_s3270	cons0.001	2	10
rep07	W2	7.333333333333333e-5	4.2712643678160924e-8	0.9	eq10400_s3270	cons0.001	2	10
rep08	W2	2.93333333333333e-4	4.123678160919524e-7	0.7333333333333333	eq10400_s3270	cons0.001	2	10
rep09	W2	1.0333333333333334e-4	1.3205747126436781e-7	0.9	eq10400_s3270	cons0.001	2	10
rep10	W2	0.00018666666666666669	1.5360919540229886e-7	0.8	eq10400_s3270	cons0.001	2	10
