simulation_replicate	pop	mean	var	freq_unadmixed	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
rep01	AQ	0.98806	5.687907586206896e-4	0	eq10400_s280	cons0.001	11	10
rep02	AQ	0.9943766666666667	3.938018505747123e-4	0	eq10400_s280	cons0.001	11	10
rep03	AQ	0.99281	4.7870093103448397e-4	0	eq10400_s280	cons0.001	11	10
rep04	AQ	0.9964466666666667	1.4483774712643595e-4	0	eq10400_s280	cons0.001	11	10
rep05	AQ	0.9950033333333334	1.8065964367816096e-4	0	eq10400_s280	cons0.001	11	10
rep06	AQ	0.9959633333333333	1.3125688505747106e-4	0	eq10400_s280	cons0.001	11	10
rep07	AQ	0.9936333333333334	6.574554022988499e-4	0	eq10400_s280	cons0.001	11	10
rep08	AQ	0.9843466666666667	0.0011554074022988514	0	eq10400_s280	cons0.001	11	10
rep09	AQ	0.99379	3.603747241379303e-4	0	eq10400_s280	cons0.001	11	10
rep10	AQ	0.9928066666666667	4.7723305747126335e-4	0	eq10400_s280	cons0.001	11	10
rep01	W1	0.006326666666666666	2.3061236781609195e-4	0.8666666666666667	eq10400_s280	cons0.001	11	10
rep02	W1	0.0028766666666666663	1.2832195402298846e-5	0.8666666666666667	eq10400_s280	cons0.001	11	10
rep03	W1	0.002403333333333332	5.61964367816091e-6	0.9666666666666667	eq10400_s280	cons0.001	11	10
rep04	W1	0.009046666666666665	4.2995567816091955e-4	0.7666666666666667	eq10400_s280	cons0.001	11	10
rep05	W1	0.002883333333333333	1.5953160919540223e-5	0.9	eq10400_s280	cons0.001	11	10
rep06	W1	0.007699999999999999	4.4204275862068967e-4	0.8333333333333334	eq10400_s280	cons0.001	11	10
rep07	W1	0.005463333333333331	2.733692988505746e-4	0.9333333333333333	eq10400_s280	cons0.001	11	10
rep08	W1	0.0033466666666666658	2.0690850574712633e-5	0.8666666666666667	eq10400_s280	cons0.001	11	10
rep09	W1	0.0020333333333333327	8.979540229885054e-6	0.9666666666666667	eq10400_s280	cons0.001	11	10
rep10	W1	0.003446666666666666	2.8255678160919524e-5	0.8666666666666667	eq10400_s280	cons0.001	11	10
rep01	W2	0.005696666666666665	8.201826436781608e-5	0.8333333333333334	eq10400_s280	cons0.001	11	10
rep02	W2	0.0033866666666666654	5.923085057471264e-5	0.9333333333333333	eq10400_s280	cons0.001	11	10
rep03	W2	0.011009999999999999	5.162161034482759e-4	0.7333333333333333	eq10400_s280	cons0.001	11	10
rep04	W2	0.003993333333333332	1.1239788505747121e-4	0.8666666666666667	eq10400_s280	cons0.001	11	10
