simulation_replicate	pop	mean	var	freq_unadmixed	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
rep06	W2	3.8e-4	1.4582068965517241e-6	0.7666666666666667	eq10400_s3270	cons0.002	21	10
rep07	W2	1.3333333333333334e-4	7.74712643678161e-8	0.8	eq10400_s3270	cons0.002	21	10
rep08	W2	1.7666666666666666e-4	1.694367816091954e-7	0.8333333333333334	eq10400_s3270	cons0.002	21	10
rep09	W2	1.3000000000000002e-4	9.527586206896553e-8	0.8333333333333334	eq10400_s3270	cons0.002	21	10
rep10	W2	1.5000000000000001e-4	1.0879310344827587e-7	0.8333333333333334	eq10400_s3270	cons0.002	21	10
rep01	AQ	0.99999	2.999999999999339e-9	0	eq10400_s3270	cons0.005	21	10
rep02	AQ	1	0	0	eq10400_s3270	cons0.005	21	10
rep03	AQ	1	0	0	eq10400_s3270	cons0.005	21	10
rep04	AQ	1	0	0	eq10400_s3270	cons0.005	21	10
rep05	AQ	0.9999666666666667	3.3333333333333394e-8	0	eq10400_s3270	cons0.005	21	10
rep06	AQ	0.9999766666666666	1.6333333333334916e-8	0	eq10400_s3270	cons0.005	21	10
rep07	AQ	0.9998333333333334	8.333333333333348e-7	0	eq10400_s3270	cons0.005	21	10
rep08	AQ	1	0	0	eq10400_s3270	cons0.005	21	10
rep09	AQ	1	0	0	eq10400_s3270	cons0.005	21	10
rep10	AQ	1	0	0	eq10400_s3270	cons0.005	21	10
rep01	W1	0.0018199999999999996	5.110855172413792e-5	0.7666666666666667	eq10400_s3270	cons0.005	21	10
rep02	W1	0.024629999999999996	0.003342449758620688	0.5333333333333333	eq10400_s3270	cons0.005	21	10
rep03	W1	0.0022733333333333334	5.7562712643678175e-5	0.7666666666666667	eq10400_s3270	cons0.005	21	10
rep04	W1	0.003753333333333333	1.112149885057471e-4	0.7666666666666667	eq10400_s3270	cons0.005	21	10
rep05	W1	0.02941	0.008779001620689656	0.6666666666666666	eq10400_s3270	cons0.005	21	10
rep06	W1	0.008746666666666666	5.718970574712643e-4	0.7333333333333333	eq10400_s3270	cons0.005	21	10
rep07	W1	0.0029333333333333334	1.3258505747126438e-4	0.8333333333333334	eq10400_s3270	cons0.005	21	10
rep08	W1	0.009999999999999998	4.3532689655172407e-4	0.5666666666666667	eq10400_s3270	cons0.005	21	10
rep09	W1	0.00721	5.209864482758622e-4	0.7333333333333333	eq10400_s3270	cons0.005	21	10
rep10	W1	0.004919999999999999	1.4232303448275858e-4	0.6	eq10400_s3270	cons0.005	21	10
rep01	W2	1e-4	8.06896551724138e-8	0.9	eq10400_s3270	cons0.005	21	10
rep02	W2	1.8e-4	1.9820689655172414e-7	0.8333333333333334	eq10400_s3270	cons0.005	21	10
rep03	W2	5.666666666666667e-5	8.529885057471265e-8	0.9666666666666667	eq10400_s3270	cons0.005	21	10
rep04	W2	3.133333333333333e-4	7.79816091954023e-7	0.7666666666666667	eq10400_s3270	cons0.005	21	10
rep05	W2	1.8666666666666666e-4	1.4119540229885058e-7	0.8	eq10400_s3270	cons0.005	21	10
rep06	W2	4.966666666666666e-4	2.441022988505747e-6	0.7333333333333333	eq10400_s3270	cons0.005	21	10
rep07	W2	4e-5	3.351724137931035e-8	0.9666666666666667	eq10400_s3270	cons0.005	21	10
rep08	W2	1.5333333333333334e-4	1.8395402298850575e-7	0.8666666666666667	eq10400_s3270	cons0.005	21	10
rep09	W2	7.666666666666667e-5	6.460919540229885e-8	0.9	eq10400_s3270	cons0.005	21	10
rep10	W2	1.1666666666666667e-4	7.936781609195402e-8	0.8	eq10400_s3270	cons0.005	21	10
rep01	AQ	0.9999866666666667	5.3333333333321585e-9	0	eq10400_s3270	cons0.01	21	10
rep02	AQ	1	0	0	eq10400_s3270	cons0.01	21	10
rep03	AQ	1	0	0	eq10400_s3270	cons0.01	21	10
rep04	AQ	1	0	0	eq10400_s3270	cons0.01	21	10
rep05	AQ	0.9999666666666667	3.3333333333333394e-8	0	eq10400_s3270	cons0.01	21	10
rep06	AQ	0.99997	2.7000000000000715e-8	0	eq10400_s3270	cons0.01	21	10
rep07	AQ	0.9998266666666666	9.013333333333272e-7	0	eq10400_s3270	cons0.01	21	10
rep08	AQ	1	0	0	eq10400_s3270	cons0.01	21	10
rep09	AQ	1	0	0	eq10400_s3270	cons0.01	21	10
rep10	AQ	1	0	0	eq10400_s3270	cons0.01	21	10
rep01	W1	0.019656666666666666	0.0015748142643678162	0.43333333333333335	eq10400_s3270	cons0.01	21	10
rep02	W1	0.010226666666666665	4.833737471264366e-4	0.5666666666666667	eq10400_s3270	cons0.01	21	10
rep03	W1	0.009126666666666667	3.3386409195402297e-4	0.5666666666666667	eq10400_s3270	cons0.01	21	10
rep04	W1	0.014176666666666666	5.387804712643678e-4	0.5666666666666667	eq10400_s3270	cons0.01	21	10
rep05	W1	0.03499	0.00910603403448276	0.5333333333333333	eq10400_s3270	cons0.01	21	10
rep06	W1	0.018626666666666666	0.0018295675402298847	0.5666666666666667	eq10400_s3270	cons0.01	21	10
rep07	W1	0.022193333333333332	0.001192195126436782	0.3333333333333333	eq10400_s3270	cons0.01	21	10
rep08	W1	0.01677333333333333	0.001431761333333333	0.5333333333333333	eq10400_s3270	cons0.01	21	10
rep09	W1	0.010479999999999998	4.784009655172413e-4	0.5	eq10400_s3270	cons0.01	21	10
rep10	W1	0.026843333333333334	0.0018453811609195402	0.36666666666666664	eq10400_s3270	cons0.01	21	10
rep01	W2	1.0666666666666667e-4	7.995402298850576e-8	0.8666666666666667	eq10400_s3270	cons0.01	21	10
rep02	W2	1.3666666666666666e-4	1.651609195402299e-7	0.9	eq10400_s3270	cons0.01	21	10
rep03	W2	1e-4	1.6206896551724138e-7	0.9333333333333333	eq10400_s3270	cons0.01	21	10
rep04	W2	4.5e-4	1.9825862068965518e-6	0.8	eq10400_s3270	cons0.01	21	10
rep05	W2	1.6333333333333334e-4	1.7826436781609197e-7	0.8333333333333334	eq10400_s3270	cons0.01	21	10
rep06	W2	9.066666666666663e-4	6.956505747126436e-6	0.6666666666666666	eq10400_s3270	cons0.01	21	10
rep07	W2	1.4000000000000001e-4	8.662068965517243e-8	0.8	eq10400_s3270	cons0.01	21	10
rep08	W2	2.5666666666666633e-4	2.501264367816079e-7	0.7666666666666667	eq10400_s3270	cons0.01	21	10
rep09	W2	6e-5	4.2482758620689656e-8	0.9	eq10400_s3270	cons0.01	21	10
rep10	W2	2.6333333333333336e-4	1.8860919540229887e-7	0.7	eq10400_s3270	cons0.01	21	10
rep01	AQ	0.9999766666666666	1.6333333333334916e-8	0	eq10400_s3270	cons0.02	21	10
rep02	AQ	1	0	0	eq10400_s3270	cons0.02	21	10
rep03	AQ	1	0	0	eq10400_s3270	cons0.02	21	10
rep04	AQ	1	0	0	eq10400_s3270	cons0.02	21	10
rep05	AQ	0.9999666666666667	3.3333333333333394e-8	0	eq10400_s3270	cons0.02	21	10
rep06	AQ	0.9999666666666667	3.3333333333333394e-8	0	eq10400_s3270	cons0.02	21	10
rep07	AQ	0.9998266666666666	9.013333333333272e-7	0	eq10400_s3270	cons0.02	21	10
rep08	AQ	1	0	0	eq10400_s3270	cons0.02	21	10
rep09	AQ	1	0	0	eq10400_s3270	cons0.02	21	10
rep10	AQ	1	0	0	eq10400_s3270	cons0.02	21	10
rep01	W1	0.03418	0.004239154758620691	0.36666666666666664	eq10400_s3270	cons0.02	21	10
rep02	W1	0.029969999999999997	0.002380295965517241	0.43333333333333335	eq10400_s3270	cons0.02	21	10
rep03	W1	0.01754	0.0010527404137931032	0.5333333333333333	eq10400_s3270	cons0.02	21	10
rep04	W1	0.027096666666666668	0.0010355630919540232	0.36666666666666664	eq10400_s3270	cons0.02	21	10
rep05	W1	0.026443333333333333	9.788204712643676e-4	0.23333333333333334	eq10400_s3270	cons0.02	21	10
rep06	W1	0.02885	0.0014312350000000003	0.3	eq10400_s3270	cons0.02	21	10
rep07	W1	0.02911333333333333	0.001268391540229885	0.3	eq10400_s3270	cons0.02	21	10
rep08	W1	0.05705999999999999	0.00649419420689655	0.13333333333333333	eq10400_s3270	cons0.02	21	10
rep09	W1	0.04931666666666667	0.009563424885057474	0.3	eq10400_s3270	cons0.02	21	10
rep10	W1	0.04252333333333333	0.0015306984022988505	0.1	eq10400_s3270	cons0.02	21	10
rep01	W2	2.1e-4	2.4162068965517244e-7	0.8333333333333334	eq10400_s3270	cons0.02	21	10
rep02	W2	2.6000000000000003e-4	2.3351724137931037e-7	0.7666666666666667	eq10400_s3270	cons0.02	21	10
rep03	W2	6e-5	4.4551724137931036e-8	0.9333333333333333	eq10400_s3270	cons0.02	21	10
rep04	W2	5.166666666666667e-4	1.7379885057471263e-6	0.7	eq10400_s3270	cons0.02	21	10
rep05	W2	1.8666666666666666e-4	2.101609195402299e-7	0.8333333333333334	eq10400_s3270	cons0.02	21	10
rep06	W2	7.933333333333334e-4	5.982712643678161e-6	0.7	eq10400_s3270	cons0.02	21	10
rep07	W2	8.666666666666667e-5	6.533333333333334e-8	0.9333333333333333	eq10400_s3270	cons0.02	21	10
rep08	W2	3.066666666666667e-4	3.5098850574712644e-7	0.7333333333333333	eq10400_s3270	cons0.02	21	10
rep09	W2	2.3e-4	2.2562068965517243e-7	0.7666666666666667	eq10400_s3270	cons0.02	21	10
rep10	W2	4.999999999999997e-4	6.372413793103428e-7	0.6	eq10400_s3270	cons0.02	21	10
rep01	AQ	0.9999666666666667	3.3333333333333394e-8	0	eq10400_s3270	cons0.05	21	10
rep02	AQ	1	0	0	eq10400_s3270	cons0.05	21	10
rep03	AQ	1	0	0	eq10400_s3270	cons0.05	21	10
rep04	AQ	1	0	0	eq10400_s3270	cons0.05	21	10
rep05	AQ	0.99994	1.0800000000000286e-7	0	eq10400_s3270	cons0.05	21	10
rep06	AQ	0.9999666666666667	3.3333333333333394e-8	0	eq10400_s3270	cons0.05	21	10
rep07	AQ	0.9998233333333333	9.363333333333232e-7	0	eq10400_s3270	cons0.05	21	10
rep08	AQ	1	0	0	eq10400_s3270	cons0.05	21	10
rep09	AQ	1	0	0	eq10400_s3270	cons0.05	21	10
rep10	AQ	1	0	0	eq10400_s3270	cons0.05	21	10
rep01	W1	0.0885	0.004612644137931034	0.06666666666666667	eq10400_s3270	cons0.05	21	10
rep02	W1	0.07461666666666666	0.003929171781609195	0.13333333333333333	eq10400_s3270	cons0.05	21	10
rep03	W1	0.13465666666666667	0.04093051357471265	0.1	eq10400_s3270	cons0.05	21	10
rep04	W1	0.11061666666666667	0.012652704885057472	0.03333333333333333	eq10400_s3270	cons0.05	21	10
rep05	W1	0.14023333333333332	0.05827685609195402	0	eq10400_s3270	cons0.05	21	10
rep06	W1	0.09264333333333333	0.009878158402298847	0.06666666666666667	eq10400_s3270	cons0.05	21	10
rep07	W1	0.04157333333333333	0.001424147540229885	0.1	eq10400_s3270	cons0.05	21	10
rep08	W1	0.09753666666666666	0.012039801712643681	0.13333333333333333	eq10400_s3270	cons0.05	21	10
rep09	W1	0.10218666666666666	0.012105968781609197	0.06666666666666667	eq10400_s3270	cons0.05	21	10
rep10	W1	0.09632	0.002926394068965517	0	eq10400_s3270	cons0.05	21	10
rep01	W2	3.9e-4	4.471379310344828e-7	0.7	eq10400_s3270	cons0.05	21	10
rep02	W2	4.7e-4	7.276896551724138e-7	0.6666666666666666	eq10400_s3270	cons0.05	21	10
rep03	W2	3.766666666666667e-4	3.515057471264368e-7	0.6666666666666666	eq10400_s3270	cons0.05	21	10
rep04	W2	5.466666666666667e-4	1.0867126436781608e-6	0.6333333333333333	eq10400_s3270	cons0.05	21	10
rep05	W2	4.0666666666666634e-4	4.544367816091935e-7	0.7	eq10400_s3270	cons0.05	21	10
rep06	W2	0.001006666666666666	5.038574712643669e-6	0.5666666666666667	eq10400_s3270	cons0.05	21	10
rep07	W2	2.9666666666666665e-4	2.0033333333333334e-7	0.7	eq10400_s3270	cons0.05	21	10
rep08	W2	3.933333333333333e-4	5.675402298850575e-7	0.7666666666666667	eq10400_s3270	cons0.05	21	10
rep09	W2	3.9333333333333337e-4	2.447816091954023e-7	0.6666666666666666	eq10400_s3270	cons0.05	21	10
rep10	W2	5.766666666666666e-4	4.5219540229885057e-7	0.5	eq10400_s3270	cons0.05	21	10
