ind	pop	simulation_replicate	AQ_assignment_rate	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
W1-1	W1	rep01	4e-4	eq10400_s280	cons0.001	11	10
W1-1	W1	rep02	0	eq10400_s280	cons0.001	11	10
W1-1	W1	rep03	0.00499999999999999	eq10400_s280	cons0.001	11	10
W1-1	W1	rep04	0.0021	eq10400_s280	cons0.001	11	10
W1-1	W1	rep05	0.0103	eq10400_s280	cons0.001	11	10
W1-1	W1	rep06	0.0012	eq10400_s280	cons0.001	11	10
W1-1	W1	rep07	0	eq10400_s280	cons0.001	11	10
W1-1	W1	rep08	4e-4	eq10400_s280	cons0.001	11	10
W1-1	W1	rep09	0.0011	eq10400_s280	cons0.001	11	10
W1-1	W1	rep10	9.000000000000001e-4	eq10400_s280	cons0.001	11	10
W1-2	W1	rep01	0.0201	eq10400_s280	cons0.001	11	10
W1-2	W1	rep02	0.001	eq10400_s280	cons0.001	11	10
W1-2	W1	rep03	0.00439999999999999	eq10400_s280	cons0.001	11	10
W1-2	W1	rep04	2e-4	eq10400_s280	cons0.001	11	10
W1-2	W1	rep05	0.001	eq10400_s280	cons0.001	11	10
W1-2	W1	rep06	0.01119999999999999	eq10400_s280	cons0.001	11	10
W1-2	W1	rep07	0.003	eq10400_s280	cons0.001	11	10
W1-2	W1	rep08	0.0016	eq10400_s280	cons0.001	11	10
W1-2	W1	rep09	9.000000000000001e-4	eq10400_s280	cons0.001	11	10
W1-2	W1	rep10	0.00769999999999999	eq10400_s280	cons0.001	11	10
W1-3	W1	rep01	8e-4	eq10400_s280	cons0.001	11	10
W1-3	W1	rep02	0.0025	eq10400_s280	cons0.001	11	10
W1-3	W1	rep03	0.0022	eq10400_s280	cons0.001	11	10
W1-3	W1	rep04	0.0023	eq10400_s280	cons0.001	11	10
W1-3	W1	rep05	0.0186	eq10400_s280	cons0.001	11	10
W1-3	W1	rep06	0.001	eq10400_s280	cons0.001	11	10
W1-3	W1	rep07	0	eq10400_s280	cons0.001	11	10
W1-3	W1	rep08	0.0041	eq10400_s280	cons0.001	11	10
W1-3	W1	rep09	0.0017	eq10400_s280	cons0.001	11	10
W1-3	W1	rep10	0.0038	eq10400_s280	cons0.001	11	10
W1-4	W1	rep01	0.0042	eq10400_s280	cons0.001	11	10
W1-4	W1	rep02	0.002	eq10400_s280	cons0.001	11	10
W1-4	W1	rep03	0.0021	eq10400_s280	cons0.001	11	10
W1-4	W1	rep04	0.00279999999999999	eq10400_s280	cons0.001	11	10
W1-4	W1	rep05	0.001	eq10400_s280	cons0.001	11	10
W1-4	W1	rep06	0.0017	eq10400_s280	cons0.001	11	10
W1-4	W1	rep07	0.0013	eq10400_s280	cons0.001	11	10
W1-4	W1	rep08	0.001	eq10400_s280	cons0.001	11	10
W1-4	W1	rep09	0.0054	eq10400_s280	cons0.001	11	10
W1-4	W1	rep10	5e-4	eq10400_s280	cons0.001	11	10
W1-5	W1	rep01	0.0018	eq10400_s280	cons0.001	11	10
W1-5	W1	rep02	0.001	eq10400_s280	cons0.001	11	10
W1-5	W1	rep03	0.0011	eq10400_s280	cons0.001	11	10
W1-5	W1	rep04	0.001	eq10400_s280	cons0.001	11	10
W1-5	W1	rep05	0.0024	eq10400_s280	cons0.001	11	10
W1-5	W1	rep06	0.0016	eq10400_s280	cons0.001	11	10
W1-5	W1	rep07	0.0017	eq10400_s280	cons0.001	11	10
W1-5	W1	rep08	0.0014	eq10400_s280	cons0.001	11	10
W1-5	W1	rep09	2e-4	eq10400_s280	cons0.001	11	10
W1-5	W1	rep10	0.0049	eq10400_s280	cons0.001	11	10
W1-6	W1	rep01	0.001	eq10400_s280	cons0.001	11	10
W1-6	W1	rep02	0.001	eq10400_s280	cons0.001	11	10
W1-6	W1	rep03	0.00299999999999999	eq10400_s280	cons0.001	11	10
W1-6	W1	rep04	4e-4	eq10400_s280	cons0.001	11	10
W1-6	W1	rep05	1e-4	eq10400_s280	cons0.001	11	10
W1-6	W1	rep06	0.0011	eq10400_s280	cons0.001	11	10
W1-6	W1	rep07	7e-4	eq10400_s280	cons0.001	11	10
W1-6	W1	rep08	2e-4	eq10400_s280	cons0.001	11	10
W1-6	W1	rep09	0.001	eq10400_s280	cons0.001	11	10
W1-6	W1	rep10	6.000000000000001e-4	eq10400_s280	cons0.001	11	10
W1-7	W1	rep01	0.018	eq10400_s280	cons0.001	11	10
W1-7	W1	rep02	0.0034	eq10400_s280	cons0.001	11	10
W1-7	W1	rep03	0.0011	eq10400_s280	cons0.001	11	10
W1-7	W1	rep04	2e-4	eq10400_s280	cons0.001	11	10
W1-7	W1	rep05	0	eq10400_s280	cons0.001	11	10
W1-7	W1	rep06	0.0017	eq10400_s280	cons0.001	11	10
W1-7	W1	rep07	0.00659999999999999	eq10400_s280	cons0.001	11	10
W1-7	W1	rep08	0.001	eq10400_s280	cons0.001	11	10
W1-7	W1	rep09	0.0026	eq10400_s280	cons0.001	11	10
W1-7	W1	rep10	0.0011	eq10400_s280	cons0.001	11	10
W1-8	W1	rep01	0.0513	eq10400_s280	cons0.001	11	10
W1-8	W1	rep02	6.000000000000001e-4	eq10400_s280	cons0.001	11	10
W1-8	W1	rep03	0.001	eq10400_s280	cons0.001	11	10
W1-8	W1	rep04	0.0017	eq10400_s280	cons0.001	11	10
W1-8	W1	rep05	0.0046	eq10400_s280	cons0.001	11	10
W1-8	W1	rep06	0	eq10400_s280	cons0.001	11	10
W1-8	W1	rep07	5e-4	eq10400_s280	cons0.001	11	10
W1-8	W1	rep08	0.0041	eq10400_s280	cons0.001	11	10
W1-8	W1	rep09	0.001	eq10400_s280	cons0.001	11	10
W1-8	W1	rep10	0.0089	eq10400_s280	cons0.001	11	10
W1-9	W1	rep01	5e-4	eq10400_s280	cons0.001	11	10
W1-9	W1	rep02	0.00819999999999999	eq10400_s280	cons0.001	11	10
W1-9	W1	rep03	3.0000000000000003e-4	eq10400_s280	cons0.001	11	10
W1-9	W1	rep04	0.0062	eq10400_s280	cons0.001	11	10
W1-9	W1	rep05	0.001	eq10400_s280	cons0.001	11	10
W1-9	W1	rep06	0.0521	eq10400_s280	cons0.001	11	10
W1-9	W1	rep07	3.0000000000000003e-4	eq10400_s280	cons0.001	11	10
W1-9	W1	rep08	0.0013	eq10400_s280	cons0.001	11	10
W1-9	W1	rep09	0.0018	eq10400_s280	cons0.001	11	10
W1-9	W1	rep10	3.0000000000000003e-4	eq10400_s280	cons0.001	11	10
W1-10	W1	rep01	8e-4	eq10400_s280	cons0.001	11	10
W1-10	W1	rep02	0.0054	eq10400_s280	cons0.001	11	10
W1-10	W1	rep03	0.002	eq10400_s280	cons0.001	11	10
W1-10	W1	rep04	0.001	eq10400_s280	cons0.001	11	10
W1-10	W1	rep05	0.00909999999999999	eq10400_s280	cons0.001	11	10
W1-10	W1	rep06	0.0028	eq10400_s280	cons0.001	11	10
W1-10	W1	rep07	2e-4	eq10400_s280	cons0.001	11	10
W1-10	W1	rep08	0.0017	eq10400_s280	cons0.001	11	10
W1-10	W1	rep09	0.001	eq10400_s280	cons0.001	11	10
W1-10	W1	rep10	0.0019	eq10400_s280	cons0.001	11	10
W1-11	W1	rep01	0	eq10400_s280	cons0.001	11	10
W1-11	W1	rep02	0.001	eq10400_s280	cons0.001	11	10
W1-11	W1	rep03	0.0049	eq10400_s280	cons0.001	11	10
W1-11	W1	rep04	3.0000000000000003e-4	eq10400_s280	cons0.001	11	10
W1-11	W1	rep05	8e-4	eq10400_s280	cons0.001	11	10
W1-11	W1	rep06	0.0052	eq10400_s280	cons0.001	11	10
W1-11	W1	rep07	0.0012	eq10400_s280	cons0.001	11	10
W1-11	W1	rep08	0.0089	eq10400_s280	cons0.001	11	10
W1-11	W1	rep09	6.000000000000001e-4	eq10400_s280	cons0.001	11	10
W1-11	W1	rep10	9.000000000000001e-4	eq10400_s280	cons0.001	11	10
W1-12	W1	rep01	0.0668	eq10400_s280	cons0.001	11	10
W1-12	W1	rep02	4e-4	eq10400_s280	cons0.001	11	10
W1-12	W1	rep03	9.000000000000001e-4	eq10400_s280	cons0.001	11	10
W1-12	W1	rep04	0.0018	eq10400_s280	cons0.001	11	10
W1-12	W1	rep05	0	eq10400_s280	cons0.001	11	10
W1-12	W1	rep06	0.0092	eq10400_s280	cons0.001	11	10
W1-12	W1	rep07	0.0015	eq10400_s280	cons0.001	11	10
W1-12	W1	rep08	9.000000000000001e-4	eq10400_s280	cons0.001	11	10
W1-12	W1	rep09	3.0000000000000003e-4	eq10400_s280	cons0.001	11	10
W1-12	W1	rep10	0.0012	eq10400_s280	cons0.001	11	10
W1-13	W1	rep01	0.001	eq10400_s280	cons0.001	11	10
W1-13	W1	rep02	0.0084	eq10400_s280	cons0.001	11	10
W1-13	W1	rep03	0.0019	eq10400_s280	cons0.001	11	10
W1-13	W1	rep04	0.04559999999999999	eq10400_s280	cons0.001	11	10
W1-13	W1	rep05	0.0015	eq10400_s280	cons0.001	11	10
W1-13	W1	rep06	0.0019	eq10400_s280	cons0.001	11	10
W1-13	W1	rep07	0.00309999999999999	eq10400_s280	cons0.001	11	10
W1-13	W1	rep08	0.00219999999999999	eq10400_s280	cons0.001	11	10
W1-13	W1	rep09	9.000000000000001e-4	eq10400_s280	cons0.001	11	10
W1-13	W1	rep10	0.0039	eq10400_s280	cons0.001	11	10
W1-14	W1	rep01	0.001	eq10400_s280	cons0.001	11	10
W1-14	W1	rep02	0.0033	eq10400_s280	cons0.001	11	10
W1-14	W1	rep03	3.0000000000000003e-4	eq10400_s280	cons0.001	11	10
W1-14	W1	rep04	0.01219999999999999	eq10400_s280	cons0.001	11	10
W1-14	W1	rep05	2e-4	eq10400_s280	cons0.001	11	10
W1-14	W1	rep06	0.00499999999999999	eq10400_s280	cons0.001	11	10
W1-14	W1	rep07	4e-4	eq10400_s280	cons0.001	11	10
W1-14	W1	rep08	9.000000000000001e-4	eq10400_s280	cons0.001	11	10
W1-14	W1	rep09	0.001	eq10400_s280	cons0.001	11	10
W1-14	W1	rep10	0.001	eq10400_s280	cons0.001	11	10
W1-15	W1	rep01	0.0018	eq10400_s280	cons0.001	11	10
W1-15	W1	rep02	0.001	eq10400_s280	cons0.001	11	10
W1-15	W1	rep03	0.01029999999999999	eq10400_s280	cons0.001	11	10
W1-15	W1	rep04	5e-4	eq10400_s280	cons0.001	11	10
W1-15	W1	rep05	0.0011	eq10400_s280	cons0.001	11	10
W1-15	W1	rep06	1e-4	eq10400_s280	cons0.001	11	10
W1-15	W1	rep07	0.001	eq10400_s280	cons0.001	11	10
W1-15	W1	rep08	0.0022	eq10400_s280	cons0.001	11	10
W1-15	W1	rep09	0.001	eq10400_s280	cons0.001	11	10
W1-15	W1	rep10	0.0014	eq10400_s280	cons0.001	11	10
W1-16	W1	rep01	0.001	eq10400_s280	cons0.001	11	10
W1-16	W1	rep02	9.000000000000001e-4	eq10400_s280	cons0.001	11	10
W1-16	W1	rep03	9.000000000000001e-4	eq10400_s280	cons0.001	11	10
W1-16	W1	rep04	0.02189999999999999	eq10400_s280	cons0.001	11	10
W1-16	W1	rep05	0.001	eq10400_s280	cons0.001	11	10
W1-16	W1	rep06	0.0034	eq10400_s280	cons0.001	11	10
W1-16	W1	rep07	0.001	eq10400_s280	cons0.001	11	10
W1-16	W1	rep08	0.0019	eq10400_s280	cons0.001	11	10
W1-16	W1	rep09	0.00249999999999999	eq10400_s280	cons0.001	11	10
W1-16	W1	rep10	0.001	eq10400_s280	cons0.001	11	10
W1-17	W1	rep01	0.001	eq10400_s280	cons0.001	11	10
W1-17	W1	rep02	0.0025	eq10400_s280	cons0.001	11	10
W1-17	W1	rep03	8e-4	eq10400_s280	cons0.001	11	10
W1-17	W1	rep04	3.0000000000000003e-4	eq10400_s280	cons0.001	11	10
W1-17	W1	rep05	0.001	eq10400_s280	cons0.001	11	10
W1-17	W1	rep06	0.0024	eq10400_s280	cons0.001	11	10
W1-17	W1	rep07	0.001	eq10400_s280	cons0.001	11	10
W1-17	W1	rep08	6.000000000000001e-4	eq10400_s280	cons0.001	11	10
W1-17	W1	rep09	0.001	eq10400_s280	cons0.001	11	10
W1-17	W1	rep10	8e-4	eq10400_s280	cons0.001	11	10
W1-18	W1	rep01	0.0012	eq10400_s280	cons0.001	11	10
W1-18	W1	rep02	0.0147	eq10400_s280	cons0.001	11	10
W1-18	W1	rep03	0.0039	eq10400_s280	cons0.001	11	10
W1-18	W1	rep04	0	eq10400_s280	cons0.001	11	10
W1-18	W1	rep05	0.00599999999999999	eq10400_s280	cons0.001	11	10
W1-18	W1	rep06	0	eq10400_s280	cons0.001	11	10
W1-18	W1	rep07	0.001	eq10400_s280	cons0.001	11	10
W1-18	W1	rep08	0.0076	eq10400_s280	cons0.001	11	10
W1-18	W1	rep09	5e-4	eq10400_s280	cons0.001	11	10
W1-18	W1	rep10	0.0019	eq10400_s280	cons0.001	11	10
W1-19	W1	rep01	0.0016	eq10400_s280	cons0.001	11	10
W1-19	W1	rep02	9.000000000000001e-4	eq10400_s280	cons0.001	11	10
W1-19	W1	rep03	0.005	eq10400_s280	cons0.001	11	10
W1-19	W1	rep04	9.000000000000001e-4	eq10400_s280	cons0.001	11	10
W1-19	W1	rep05	1e-4	eq10400_s280	cons0.001	11	10
W1-19	W1	rep06	8e-4	eq10400_s280	cons0.001	11	10
W1-19	W1	rep07	0.08869999999999997	eq10400_s280	cons0.001	11	10
W1-19	W1	rep08	0.001	eq10400_s280	cons0.001	11	10
W1-19	W1	rep09	0.0014	eq10400_s280	cons0.001	11	10
W1-19	W1	rep10	0.001	eq10400_s280	cons0.001	11	10
W1-20	W1	rep01	0.0018	eq10400_s280	cons0.001	11	10
W1-20	W1	rep02	5e-4	eq10400_s280	cons0.001	11	10
W1-20	W1	rep03	0.001	eq10400_s280	cons0.001	11	10
W1-20	W1	rep04	0.1019	eq10400_s280	cons0.001	11	10
W1-20	W1	rep05	1e-4	eq10400_s280	cons0.001	11	10
