simulation_replicate	pop	mean	var	freq_unadmixed	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
rep01	AQ	0.9999933333333333	1.3333333333330396e-9	0	eq10400_s3270	single0.1	16	10
rep02	AQ	1	0	0	eq10400_s3270	single0.1	16	10
rep03	AQ	1	0	0	eq10400_s3270	single0.1	16	10
rep04	AQ	1	0	0	eq10400_s3270	single0.1	16	10
rep05	AQ	1	0	0	eq10400_s3270	single0.1	16	10
rep06	AQ	0.9999666666666667	3.3333333333333394e-8	0	eq10400_s3270	single0.1	16	10
rep07	AQ	0.9999566666666667	5.633333333333055e-8	0	eq10400_s3270	single0.1	16	10
rep08	AQ	1	0	0	eq10400_s3270	single0.1	16	10
rep09	AQ	1	0	0	eq10400_s3270	single0.1	16	10
rep10	AQ	1	0	0	eq10400_s3270	single0.1	16	10
rep01	W1	0.002233333333333333	6.93174712643678e-5	0.8	eq10400_s3270	single0.1	16	10
rep02	W1	0.010716666666666666	3.4105109195402305e-4	0.5333333333333333	eq10400_s3270	single0.1	16	10
rep03	W1	0.007676666666666664	3.0669357471264355e-4	0.7333333333333333	eq10400_s3270	single0.1	16	10
rep04	W1	0.010266666666666665	3.5476436781609185e-4	0.6333333333333333	eq10400_s3270	single0.1	16	10
rep05	W1	0.006063333333333333	2.4301343678160916e-4	0.7333333333333333	eq10400_s3270	single0.1	16	10
rep06	W1	0.009556666666666665	3.68645988505747e-4	0.6333333333333333	eq10400_s3270	single0.1	16	10
rep07	W1	0.006176666666666666	3.4766460919540226e-4	0.7	eq10400_s3270	single0.1	16	10
rep08	W1	0.005826666666666666	1.9647995402298843e-4	0.7	eq10400_s3270	single0.1	16	10
rep09	W1	0.010126666666666666	3.0887650574712644e-4	0.5333333333333333	eq10400_s3270	single0.1	16	10
rep10	W1	0.004696666666666667	2.0400998850574715e-4	0.8	eq10400_s3270	single0.1	16	10
rep01	W2	1.4000000000000001e-4	1.8800000000000002e-7	0.9	eq10400_s3270	single0.1	16	10
rep02	W2	1.4666666666666666e-4	9.291954022988506e-8	0.8666666666666667	eq10400_s3270	single0.1	16	10
rep03	W2	1.1666666666666667e-4	6.143678160919541e-8	0.8666666666666667	eq10400_s3270	single0.1	16	10
rep04	W2	2.5666666666666665e-4	3.6460919540229885e-7	0.8333333333333334	eq10400_s3270	single0.1	16	10
rep05	W2	0.0011333333333333334	1.150712643678161e-5	0.7	eq10400_s3270	single0.1	16	10
rep06	W2	1.7333333333333334e-4	1.3029885057471265e-7	0.8	eq10400_s3270	single0.1	16	10
rep07	W2	1.2333333333333334e-4	9.97816091954023e-8	0.8666666666666667	eq10400_s3270	single0.1	16	10
rep08	W2	2e-4	1.9586206896551723e-7	0.8333333333333334	eq10400_s3270	single0.1	16	10
rep09	W2	8.733333333333324e-4	1.4604091954022975e-5	0.8666666666666667	eq10400_s3270	single0.1	16	10
rep10	W2	3.6666666666666666e-5	9.298850574712645e-9	0.9666666666666667	eq10400_s3270	single0.1	16	10
rep01	AQ	0.99999	2.999999999999339e-9	0	eq10400_s3270	single0.2	16	10
rep02	AQ	1	0	0	eq10400_s3270	single0.2	16	10
rep03	AQ	1	0	0	eq10400_s3270	single0.2	16	10
rep04	AQ	1	0	0	eq10400_s3270	single0.2	16	10
rep05	AQ	1	0	0	eq10400_s3270	single0.2	16	10
rep06	AQ	0.9999666666666667	3.3333333333333394e-8	0	eq10400_s3270	single0.2	16	10
rep07	AQ	0.99994	1.0800000000000286e-7	0	eq10400_s3270	single0.2	16	10
rep08	AQ	1	0	0	eq10400_s3270	single0.2	16	10
rep09	AQ	1	0	0	eq10400_s3270	single0.2	16	10
rep10	AQ	1	0	0	eq10400_s3270	single0.2	16	10
rep01	W1	0.015816666666666666	7.601372988505747e-4	0.5	eq10400_s3270	single0.2	16	10
rep02	W1	0.015793333333333333	8.495068505747125e-4	0.5333333333333333	eq10400_s3270	single0.2	16	10
rep03	W1	0.019616666666666668	9.521352298850575e-4	0.4	eq10400_s3270	single0.2	16	10
rep04	W1	0.012446666666666665	4.433880919540229e-4	0.6	eq10400_s3270	single0.2	16	10
rep05	W1	0.013846666666666665	0.0010204742988505744	0.6	eq10400_s3270	single0.2	16	10
rep06	W1	0.020016666666666665	6.584924712643677e-4	0.36666666666666664	eq10400_s3270	single0.2	16	10
rep07	W1	0.02234333333333333	0.0010039852988505745	0.4	eq10400_s3270	single0.2	16	10
rep08	W1	0.014546666666666664	3.9524809195402285e-4	0.5	eq10400_s3270	single0.2	16	10
rep09	W1	0.01765	7.977246551724137e-4	0.5	eq10400_s3270	single0.2	16	10
rep10	W1	0.011233333333333331	5.144154022988504e-4	0.6333333333333333	eq10400_s3270	single0.2	16	10
rep01	W2	8e-5	5.7517241379310346e-8	0.9	eq10400_s3270	single0.2	16	10
rep02	W2	1.2e-4	1.4855172413793103e-7	0.9	eq10400_s3270	single0.2	16	10
rep03	W2	4.3333333333333334e-5	1.081609195402299e-8	0.9	eq10400_s3270	single0.2	16	10
rep04	W2	2.1333333333333333e-4	2.3636781609195404e-7	0.8	eq10400_s3270	single0.2	16	10
rep05	W2	5.633333333333333e-4	2.4541264367816095e-6	0.8	eq10400_s3270	single0.2	16	10
rep06	W2	3.166666666666667e-4	1.8557471264367818e-7	0.6	eq10400_s3270	single0.2	16	10
rep07	W2	3.5e-4	9.956896551724139e-7	0.7666666666666667	eq10400_s3270	single0.2	16	10
rep08	W2	2.3999999999999968e-4	2.459310344827573e-7	0.7666666666666667	eq10400_s3270	single0.2	16	10
rep09	W2	6.999999999999997e-4	9.00965517241379e-6	0.8666666666666667	eq10400_s3270	single0.2	16	10
rep10	W2	7.000000000000001e-5	5.182758620689655e-8	0.9	eq10400_s3270	single0.2	16	10
rep01	AQ	0.9999666666666667	3.3333333333333394e-8	0	eq10400_s3270	single0.5	16	10
rep02	AQ	1	0	0	eq10400_s3270	single0.5	16	10
rep03	AQ	1	0	0	eq10400_s3270	single0.5	16	10
rep04	AQ	1	0	0	eq10400_s3270	single0.5	16	10
rep05	AQ	0.9999933333333333	1.3333333333330396e-9	0	eq10400_s3270	single0.5	16	10
rep06	AQ	0.9999666666666667	3.3333333333333394e-8	0	eq10400_s3270	single0.5	16	10
rep07	AQ	0.9999333333333333	1.3333333333333357e-7	0	eq10400_s3270	single0.5	16	10
rep08	AQ	1	0	0	eq10400_s3270	single0.5	16	10
rep09	AQ	1	0	0	eq10400_s3270	single0.5	16	10
rep10	AQ	1	0	0	eq10400_s3270	single0.5	16	10
rep01	W1	0.040556666666666664	0.0023270880574712645	0.2	eq10400_s3270	single0.5	16	10
rep02	W1	0.03551	0.0012279636896551723	0.23333333333333334	eq10400_s3270	single0.5	16	10
rep03	W1	0.0382	0.0018759117241379307	0.3	eq10400_s3270	single0.5	16	10
rep04	W1	0.04650666666666666	0.0011953799540229883	0.13333333333333333	eq10400_s3270	single0.5	16	10
rep05	W1	0.035976666666666664	0.001491425988505747	0.2	eq10400_s3270	single0.5	16	10
rep06	W1	0.056749999999999995	0.0023315094827586207	0.16666666666666666	eq10400_s3270	single0.5	16	10
rep07	W1	0.03127666666666667	0.0011928094367816091	0.3333333333333333	eq10400_s3270	single0.5	16	10
rep08	W1	0.02235	7.411970689655172e-4	0.3333333333333333	eq10400_s3270	single0.5	16	10
rep09	W1	0.05564333333333333	0.0027288108160919543	0	eq10400_s3270	single0.5	16	10
rep10	W1	0.050846666666666665	0.0023566605057471265	0.16666666666666666	eq10400_s3270	single0.5	16	10
rep01	W2	1.5333333333333334e-4	1.3360919540229886e-7	0.8333333333333334	eq10400_s3270	single0.5	16	10
