ind	pop	simulation_replicate	AQ_assignment_rate	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
W1-10	W1	rep04	0	eq10400_s3270	single0.1	6	10
W1-10	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-10	W1	rep06	1e-4	eq10400_s3270	single0.1	6	10
W1-10	W1	rep07	0.125	eq10400_s3270	single0.1	6	10
W1-10	W1	rep08	0	eq10400_s3270	single0.1	6	10
W1-10	W1	rep09	6.000000000000001e-4	eq10400_s3270	single0.1	6	10
W1-10	W1	rep10	0	eq10400_s3270	single0.1	6	10
W1-11	W1	rep01	0	eq10400_s3270	single0.1	6	10
W1-11	W1	rep02	2e-4	eq10400_s3270	single0.1	6	10
W1-11	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-11	W1	rep04	0	eq10400_s3270	single0.1	6	10
W1-11	W1	rep05	0.001	eq10400_s3270	single0.1	6	10
W1-11	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-11	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-11	W1	rep08	0	eq10400_s3270	single0.1	6	10
W1-11	W1	rep09	0	eq10400_s3270	single0.1	6	10
W1-11	W1	rep10	0	eq10400_s3270	single0.1	6	10
W1-12	W1	rep01	6.000000000000001e-4	eq10400_s3270	single0.1	6	10
W1-12	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-12	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-12	W1	rep04	0	eq10400_s3270	single0.1	6	10
W1-12	W1	rep05	9.000000000000001e-4	eq10400_s3270	single0.1	6	10
W1-12	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-12	W1	rep07	7e-4	eq10400_s3270	single0.1	6	10
W1-12	W1	rep08	0	eq10400_s3270	single0.1	6	10
W1-12	W1	rep09	0.24510000000000004	eq10400_s3270	single0.1	6	10
W1-12	W1	rep10	0.001	eq10400_s3270	single0.1	6	10
W1-13	W1	rep01	0	eq10400_s3270	single0.1	6	10
W1-13	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-13	W1	rep03	7e-4	eq10400_s3270	single0.1	6	10
