ind	pop	simulation_replicate	AQ_assignment_rate	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
W1-1	W1	rep01	0	eq10400_s3270	single0.1	3	10
W1-1	W1	rep02	0	eq10400_s3270	single0.1	3	10
W1-1	W1	rep03	0	eq10400_s3270	single0.1	3	10
W1-1	W1	rep04	0	eq10400_s3270	single0.1	3	10
W1-1	W1	rep05	0.0034	eq10400_s3270	single0.1	3	10
W1-1	W1	rep06	0	eq10400_s3270	single0.1	3	10
W1-1	W1	rep07	0	eq10400_s3270	single0.1	3	10
W1-1	W1	rep08	0	eq10400_s3270	single0.1	3	10
W1-1	W1	rep09	0	eq10400_s3270	single0.1	3	10
W1-1	W1	rep10	0	eq10400_s3270	single0.1	3	10
W1-2	W1	rep01	0	eq10400_s3270	single0.1	3	10
W1-2	W1	rep02	0	eq10400_s3270	single0.1	3	10
W1-2	W1	rep03	0	eq10400_s3270	single0.1	3	10
W1-2	W1	rep04	0	eq10400_s3270	single0.1	3	10
W1-2	W1	rep05	0.27559999999999996	eq10400_s3270	single0.1	3	10
W1-2	W1	rep06	0	eq10400_s3270	single0.1	3	10
W1-2	W1	rep07	0	eq10400_s3270	single0.1	3	10
W1-2	W1	rep08	0	eq10400_s3270	single0.1	3	10
W1-2	W1	rep09	0	eq10400_s3270	single0.1	3	10
W1-2	W1	rep10	0	eq10400_s3270	single0.1	3	10
W1-3	W1	rep01	0	eq10400_s3270	single0.1	3	10
W1-3	W1	rep02	0	eq10400_s3270	single0.1	3	10
W1-3	W1	rep03	0	eq10400_s3270	single0.1	3	10
W1-3	W1	rep04	0	eq10400_s3270	single0.1	3	10
W1-3	W1	rep05	0	eq10400_s3270	single0.1	3	10
W1-3	W1	rep06	0	eq10400_s3270	single0.1	3	10
W1-3	W1	rep07	0.001	eq10400_s3270	single0.1	3	10
W1-3	W1	rep08	0	eq10400_s3270	single0.1	3	10
W1-3	W1	rep09	1e-4	eq10400_s3270	single0.1	3	10
W1-3	W1	rep10	0	eq10400_s3270	single0.1	3	10
W1-4	W1	rep01	0	eq10400_s3270	single0.1	3	10
W1-4	W1	rep02	0	eq10400_s3270	single0.1	3	10
W1-4	W1	rep03	0	eq10400_s3270	single0.1	3	10
W1-4	W1	rep04	0.0022	eq10400_s3270	single0.1	3	10
W1-4	W1	rep05	0	eq10400_s3270	single0.1	3	10
W1-4	W1	rep06	0	eq10400_s3270	single0.1	3	10
W1-4	W1	rep07	0	eq10400_s3270	single0.1	3	10
W1-4	W1	rep08	0	eq10400_s3270	single0.1	3	10
W1-4	W1	rep09	0	eq10400_s3270	single0.1	3	10
W1-4	W1	rep10	0	eq10400_s3270	single0.1	3	10
W1-5	W1	rep01	0	eq10400_s3270	single0.1	3	10
W1-5	W1	rep02	0	eq10400_s3270	single0.1	3	10
W1-5	W1	rep03	0	eq10400_s3270	single0.1	3	10
W1-5	W1	rep04	1e-4	eq10400_s3270	single0.1	3	10
W1-5	W1	rep05	0.0019	eq10400_s3270	single0.1	3	10
W1-5	W1	rep06	0.005	eq10400_s3270	single0.1	3	10
W1-5	W1	rep07	0	eq10400_s3270	single0.1	3	10
W1-5	W1	rep08	0	eq10400_s3270	single0.1	3	10
W1-5	W1	rep09	0	eq10400_s3270	single0.1	3	10
W1-5	W1	rep10	0	eq10400_s3270	single0.1	3	10
W1-6	W1	rep01	0	eq10400_s3270	single0.1	3	10
W1-6	W1	rep02	0.2121	eq10400_s3270	single0.1	3	10
W1-6	W1	rep03	4e-4	eq10400_s3270	single0.1	3	10
W1-6	W1	rep04	0	eq10400_s3270	single0.1	3	10
W1-6	W1	rep05	0	eq10400_s3270	single0.1	3	10
W1-6	W1	rep06	0	eq10400_s3270	single0.1	3	10
W1-6	W1	rep07	0	eq10400_s3270	single0.1	3	10
W1-6	W1	rep08	3.0000000000000003e-4	eq10400_s3270	single0.1	3	10
W1-6	W1	rep09	0	eq10400_s3270	single0.1	3	10
W1-6	W1	rep10	0	eq10400_s3270	single0.1	3	10
W1-7	W1	rep01	0	eq10400_s3270	single0.1	3	10
W1-7	W1	rep02	0	eq10400_s3270	single0.1	3	10
W1-7	W1	rep03	0	eq10400_s3270	single0.1	3	10
W1-7	W1	rep04	0	eq10400_s3270	single0.1	3	10
W1-7	W1	rep05	0.1069	eq10400_s3270	single0.1	3	10
W1-7	W1	rep06	0	eq10400_s3270	single0.1	3	10
W1-7	W1	rep07	0.0012	eq10400_s3270	single0.1	3	10
W1-7	W1	rep08	0	eq10400_s3270	single0.1	3	10
W1-7	W1	rep09	0	eq10400_s3270	single0.1	3	10
W1-7	W1	rep10	0	eq10400_s3270	single0.1	3	10
W1-8	W1	rep01	0	eq10400_s3270	single0.1	3	10
W1-8	W1	rep02	0	eq10400_s3270	single0.1	3	10
W1-8	W1	rep03	0	eq10400_s3270	single0.1	3	10
W1-8	W1	rep04	0	eq10400_s3270	single0.1	3	10
W1-8	W1	rep05	0	eq10400_s3270	single0.1	3	10
W1-8	W1	rep06	0	eq10400_s3270	single0.1	3	10
W1-8	W1	rep07	0	eq10400_s3270	single0.1	3	10
